FIPS,Areaname,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
36,New York,3097394,3880735,4382759,5082871,6003174,7268894,9113614,10385227,12588066,13479142,14830192,16782304,18241391,17558165,17990455,18976457,19378102,20201249
37,North Carolina,869039,992622,1071361,1399750,1617949,1896810,2206287,2559123,3170276,3571623,4061929,4556155,5084411,5880095,6628637,8049313,9535483,10439388
38,North Dakota,na,na,2405,36909,190983,319146,577056,646872,680845,641935,619636,632446,617792,652717,638800,642200,672591,779094
39,Ohio,1980329,2339511,2665260,3198062,3672329,4157545,4767121,5759394,6646697,6907612,7946627,9706397,10657423,10797603,10847115,11353140,11536504,11799448
40,Oklahoma,na,na,na,na,258657,790391,1657155,2028283,2396040,2336434,2233351,2328284,2559463,3025487,3145585,3450654,3751351,3959353
41,Oregon,12093,52465,90923,174768,317704,413536,672765,783389,953786,1089684,1521341,1768687,2091533,2633156,2842321,3421399,3831074,4237256
42,Pennsylvania,2311786,2906215,3521951,4282891,5258113,6302115,7665111,8720017,9631350,9900180,10498012,11319366,11800766,11864720,11881643,12281054,12702379,13002700
44,Rhode Island,147545,174620,217353,276531,345506,428556,542610,604397,687497,713346,791896,859488,949723,947154,1003464,1048319,1052567,1097379
45,South Carolina,668507,703708,705606,995577,1151149,1340316,1515400,1683724,1738765,1899804,2117027,2382594,2590713,3120729,3486703,4012012,4625364,5118425
46,South Dakota,na,4837,11776,98268,348600,401570,583888,636547,692849,642961,652740,680514,666257,690768,696004,754844,814180,886667
47,Tennessee,1002717,1109801,1258520,1542359,1767518,2020616,2184789,2337885,2616556,2915841,3291718,3567089,3926018,4591023,4877185,5689283,6346105,6910840
48,Texas,212592,604215,818579,1591749,2235527,3048710,3896542,4663228,5824715,6414824,7711194,9579677,11198655,14255513,16986510,20851820,25145561,29145505
49,Utah,11380,40273,86786,143963,210779,276749,373351,449396,507847,550310,688862,890627,1059273,1461037,1722850,2233169,2763885,3271616
50,Vermont,314120,315098,330551,332286,332422,343641,355956,352428,359611,359231,377747,389881,444732,511456,562758,608827,625741,643077
51,Virginia,1119349,1219630,1225163,1512565,1655980,1854184,2061612,2309187,2421851,2677773,3318680,3966949,4651448,5346797,6187358,7078515,8001024,8631393
53,Washington,1201,11594,23955,75116,357232,518103,1141990,1356621,1563396,1736191,2378963,2853214,3413244,4132353,4866692,5894121,6724540,7705281
54,West Virginia,302313,376688,442014,618457,762794,958800,1221119,1463701,1729205,1901974,2005552,1860421,1744237,1950186,1793477,1808344,1852994,1793716
55,Wisconsin,305391,775881,1054670,1315497,1693330,2069042,2333860,2632067,2939006,3137587,3434575,3951777,4417821,4705642,4891769,5363675,5686986,5893718
56,Wyoming,na,na,9118,20789,62555,92631,145965,194402,225565,250742,290529,330066,332416,469557,453588,493782,563626,576851
